"ID","povertyRatio24","logPovertyRatio24","inPoverty24","college24","sex","birthYear","isLessAge14R1","isBlack","isHispanic","hasSibling","maxParentEducation","avgPovertyRatio18","logAvgPovertyRatio18","inPoverty18","livesWithMom","momSupport","momStrict","livesWithDad","dadSupport","dadStrict","safeEnv","pctPeersPositive","pctPeersNegative","schoolAbsent","schoolLate","schoolEnvironment","schoolViolence","teacherQuality","liesCheats","negativeEmotions","positiveOutlook"
171,11.16,2.41233595695316,0,0,1,4,1,0,1,1,12,3.14,1.14422279992016,0,1,2,1,1,2,1,1,0.5,0.13,3,0,8,0,5,0,0,7
181,8.89,2.18492704952581,0,1,1,2,1,0,0,1,20,7.02,1.94876321803772,0,1,1,1,1,1,1,1,0.725,0.09,4,0,6,0,5,1,1,8
182,7.4,2.00148000021012,0,1,1,4,1,0,0,1,20,7.755,2.0483377966285,0,1,2,1,1,2,1,1,0.7375,0.05,3,0,6,0,6,0,0,11
185,0.1,-2.30258509299405,1,0,0,1,0,1,0,0,12,5.62,1.7263316639056,0,1,1,1,0,0,0,0,0.2625,0.69,4,2,5,1,3,0,0,0
187,5.56,1.71559810826249,0,1,0,3,1,0,1,1,14,4.345,1.46902575871736,0,1,2,0,1,2,1,0,0.725,0.19,0,1,10,1,4,0,0,10
191,3.7,1.30833281965018,0,0,0,2,1,0,0,0,16,6.37,1.85159946958407,0,0,0,0,0,0,0,0,0.5625,0.45,1,1,3,1,4,0,1,3
192,1.05,0.048790164169432,0,0,1,2,1,0,1,1,15,0.335,-1.09362474715707,1,1,1,1,0,0,0,1,0.3875,0.41,2,3,6,1,4,1,0,9
194,4,1.38629436111989,0,0,1,0,0,0,1,1,0,2.265,0.817574758934997,0,1,1,0,1,2,0,1,0.5625,0.51,1,1,6,0,4,0,0,0
195,0,-4.60517018598809,1,0,0,3,1,1,0,0,14,3.71,1.31103187661934,0,1,2,1,0,0,0,0,0.3375,0.46,4,3,1,1,2,0,2,2
199,2.49,0.912282710476616,0,0,0,2,1,0,0,0,17,7.05,1.95302761682418,0,1,1,1,1,0,1,0,0.6125,0.05,1,3,4,1,3,2,2,7
201,12.53,2.52812576890798,0,1,1,3,1,0,0,0,18,6.725,1.9058319254879,0,1,2,0,1,2,0,1,0.4875,0.09,13,10,7,0,4,1,1,8
204,6.01,1.79342474854712,0,0,1,1,0,0,0,1,15,3.24,1.17557332980424,0,1,2,0,0,0,0,0,0.325,0.73,13,11,2,1,4,0,0,0
206,4.14,1.42069578783722,0,0,0,2,1,0,0,1,10,0.7,-0.356674943938732,1,1,2,1,1,2,1,1,0.325,0.59,9,0,5,0,2,0,0,6
212,3.12,1.13783300182139,0,0,0,0,0,0,1,1,12,1.13,0.122217632724249,0,1,1,0,1,2,1,1,0.5,0.32,3,1,6,1,5,0,0,0
213,7.78,2.0515563381903,0,0,1,2,1,0,1,1,12,1.13,0.122217632724249,0,1,2,1,1,2,1,1,0.3125,0.05,2,0,5,0,4,1,0,9
215,6.83,1.9213246735827,0,0,0,1,0,0,1,1,12,1.46,0.378436435720245,0,1,2,1,0,0,0,1,0.5,0.45,5,7,5,1,5,0,0,0
216,3.6,1.28093384546206,0,0,1,0,0,0,1,1,11,2.34,0.85015092936961,0,1,1,1,1,0,1,0,0.3125,0.6,40,5,0,1,3,0,0,0
219,4.79,1.56653041142282,0,1,0,2,1,0,0,0,18,11.72,2.46129678414887,0,1,2,0,1,1,1,1,0.675,0.21,0,0,5,0,4,0,0,11
221,2.54,0.932164081030445,0,0,1,4,1,0,0,1,14,3.58333333333333,1.27629346590556,0,1,2,1,1,2,0,1,0.725,0.09,2,0,7,0,4,0,0,8
222,5.65,1.73165554515835,0,0,0,1,0,0,1,1,12,2.2,0.78845736036427,0,1,2,1,1,2,1,0,0.4375,0.41,2,20,10,0,1,0,0,0
223,4.52,1.50851199384414,0,0,0,1,0,0,1,1,12,2.2,0.78845736036427,0,1,2,1,1,2,1,0,0.9,0.37,2,3,4,0,4,0,0,0
224,5.02,1.61342993370364,0,0,1,2,1,0,0,1,12,4.51,1.50629715351459,0,0,0,0,1,2,0,1,0.6875,0.346,3,4,6,0,4,0,0,8
226,0,-4.60517018598809,1,0,1,1,0,1,0,1,9,0.16,-1.83258146374831,1,1,2,1,0,0,0,1,0.45,0.31,0,0,6,0,4,0,0,0
229,2.7,0.993251773010283,0,1,1,4,1,0,0,0,16,7.61,2.02946317187359,0,1,2,1,1,2,1,0,0.6025,0.05,0,0,9,0,5,0,0,9
